position,x,value
76.0,1658019271570,1.639261245727539
77.0,1658019272509,1.4044872522354126
78.0,1658019273442,1.2442975044250488
79.0,1658019274374,1.542762279510498
80.0,1658019275314,1.7162708044052124
81.0,1658019276246,1.46013605594635
82.0,1658019277179,1.3295128345489502
83.0,1658019278118,1.372198224067688
84.0,1658019279052,1.4480630159378052
85.0,1658019279983,1.3748618364334106
86.0,1658019280914,1.3296090364456177
87.0,1658019281846,1.3711910247802734
88.0,1658019282778,1.33822762966156
89.0,1658019283710,1.5412417650222778
90.0,1658019284644,1.4952681064605713
91.0,1658019285582,1.2646933794021606
92.0,1658019286515,1.3986704349517822
93.0,1658019287454,1.231879711151123
94.0,1658019288394,1.4931480884552002
95.0,1658019289342,1.5840659141540527
96.0,1658019290288,1.2916706800460815
97.0,1658019291230,1.424839735031128
98.0,1658019292165,1.4514225721359253
99.0,1658019293102,1.2457753419876099
100.0,1658019317724,1.4284021854400635
101.0,1658019318653,1.4640800952911377
102.0,1658019319588,1.2703769207000732
103.0,1658019320514,1.3400150537490845
104.0,1658019321442,1.39463210105896
105.0,1658019322371,1.5966742038726807
106.0,1658019323299,1.2851862907409668
107.0,1658019324229,1.484007477760315
108.0,1658019325160,1.409523606300354
109.0,1658019326089,1.7995439767837524
110.0,1658019327018,1.39361572265625
111.0,1658019327955,1.5802874565124512
112.0,1658019328886,1.4740655422210693
113.0,1658019329815,1.4193977117538452
114.0,1658019330752,1.362686276435852
115.0,1658019331686,1.5430222749710083
116.0,1658019332616,1.4181214570999146
117.0,1658019333549,1.1616661548614502
118.0,1658019334479,1.4213409423828125
119.0,1658019335413,1.4003640413284302
120.0,1658019336347,1.4565809965133667
121.0,1658019337278,1.3534913063049316
122.0,1658019338209,1.1946415901184082
123.0,1658019339144,1.3286800384521484
124.0,1658019340075,1.37764573097229
125.0,1658019341005,1.5415260791778564
126.0,1658019341938,1.4076650142669678
127.0,1658019342870,1.5624393224716187
128.0,1658019343804,1.366171956062317
129.0,1658019344751,1.4144161939620972
130.0,1658019345696,1.2671421766281128
131.0,1658019346640,1.2572004795074463
132.0,1658019347586,1.5483675003051758
133.0,1658019348535,1.4403622150421143
134.0,1658019349486,1.117271900177002
135.0,1658019350438,1.3005644083023071
136.0,1658019351387,1.398594617843628
137.0,1658019352334,1.2772083282470703
138.0,1658019353279,1.4507848024368286
139.0,1658019354226,1.6022669076919556
140.0,1658019355168,1.4520127773284912
141.0,1658019356118,1.5443415641784668
142.0,1658019357059,1.5644524097442627
143.0,1658019357993,1.3658229112625122
144.0,1658019358929,1.3706669807434082
145.0,1658019359867,1.613634705543518
146.0,1658019360805,1.3230870962142944
147.0,1658019361743,1.2774683237075806
148.0,1658019362681,1.5644134283065796
149.0,1658019363619,1.286543369293213
150.0,1658019378693,1.5352630615234375
151.0,1658019379640,1.340882420539856
152.0,1658019380576,1.3912434577941895
153.0,1658019381519,1.6183286905288696
154.0,1658019382460,1.4673058986663818
155.0,1658019383403,1.3443197011947632
156.0,1658019384343,1.6002463102340698
157.0,1658019385273,1.4449647665023804
158.0,1658019386204,1.3843601942062378
159.0,1658019387137,1.3625842332839966
160.0,1658019388072,1.3520920276641846
161.0,1658019389006,1.4592732191085815
162.0,1658019389940,1.475997805595398
163.0,1658019390873,1.3331254720687866
164.0,1658019391807,1.3473585844039917
165.0,1658019392742,1.5404832363128662
166.0,1658019393678,1.300902009010315
167.0,1658019394614,1.4822667837142944
168.0,1658019395551,1.32437002658844
169.0,1658019396494,1.5809897184371948
170.0,1658019397431,1.4896702766418457
171.0,1658019398381,1.5024619102478027
172.0,1658019399316,1.2056430578231812
173.0,1658019400252,1.2652418613433838
174.0,1658019401187,1.2537163496017456
175.0,1658019402130,1.3841710090637207
176.0,1658019403065,1.3881464004516602
177.0,1658019404000,1.6456749439239502
178.0,1658019404934,1.4210139513015747
179.0,1658019405869,1.4121532440185547
180.0,1658019406804,1.4334644079208374
181.0,1658019407739,1.3297481536865234
182.0,1658019408675,1.3712646961212158
183.0,1658019409611,1.2193526029586792
184.0,1658019410549,1.5788300037384033
185.0,1658019411485,1.2297731637954712
186.0,1658019412421,1.585114598274231
187.0,1658019413357,1.3546433448791504
188.0,1658019414295,1.3852232694625854
189.0,1658019415233,1.302083969116211
190.0,1658019416168,1.6437638998031616
191.0,1658019417115,1.3939558267593384
192.0,1658019418062,1.342597246170044
193.0,1658019419006,1.3316013813018799
194.0,1658019419941,1.3371336460113525
195.0,1658019420876,1.5058196783065796
196.0,1658019421814,1.5629801750183105
197.0,1658019422750,1.3234524726867676
198.0,1658019423684,1.5116766691207886
199.0,1658019424624,1.2132445573806763
200.0,1658019446071,1.2739232778549194
201.0,1658019446999,1.1745258569717407
202.0,1658019447930,1.431854248046875
203.0,1658019448858,1.2322413921356201
204.0,1658019449789,1.53249192237854
205.0,1658019450720,1.2441418170928955
206.0,1658019451651,1.3823305368423462
207.0,1658019452580,1.1990047693252563
208.0,1658019453510,1.3289799690246582
209.0,1658019454441,1.2645411491394043
210.0,1658019455372,1.3498284816741943
211.0,1658019456303,1.4778811931610107
212.0,1658019457235,1.5594712495803833
213.0,1658019458166,1.3783663511276245
214.0,1658019459097,1.349015474319458
215.0,1658019460027,1.261751651763916
216.0,1658019460957,1.480819582939148
217.0,1658019461888,1.4847757816314697
218.0,1658019462820,1.6147191524505615
219.0,1658019463754,1.4817668199539185
220.0,1658019464686,1.3466092348098755
221.0,1658019465625,1.533168077468872
222.0,1658019466559,1.2806860208511353
223.0,1658019467493,1.7245571613311768
224.0,1658019468429,1.3208951950073242
225.0,1658019469365,1.45724356174469
226.0,1658019470299,1.4694013595581055
227.0,1658019471235,1.651856541633606
228.0,1658019472171,1.4858027696609497
229.0,1658019473109,1.384478211402893
230.0,1658019474046,1.3488858938217163
231.0,1658019474982,1.2619469165802002
232.0,1658019475918,1.5172361135482788
233.0,1658019476852,1.446544885635376
234.0,1658019477787,1.389647364616394
235.0,1658019478722,1.4329861402511597
236.0,1658019479655,1.2818689346313477
237.0,1658019480589,1.338673710823059
238.0,1658019481523,1.2659634351730347
239.0,1658019482467,1.3688995838165283
240.0,1658019483401,1.6242204904556274
241.0,1658019484337,1.428045630455017
242.0,1658019485273,1.2830969095230103
243.0,1658019486209,1.3302440643310547
244.0,1658019487145,1.2760677337646484
245.0,1658019488080,1.4514269828796387
246.0,1658019489014,1.4896637201309204
247.0,1658019489949,1.489861249923706
248.0,1658019490884,1.4217289686203003
249.0,1658019491821,1.4630203247070312
250.0,1658019507155,1.4602752923965454
251.0,1658019508093,1.4996755123138428
252.0,1658019509024,1.3602441549301147
253.0,1658019509954,1.2521166801452637
254.0,1658019510884,1.4878278970718384
255.0,1658019511814,1.3982107639312744
256.0,1658019512745,1.249058485031128
257.0,1658019513677,1.3913440704345703
258.0,1658019514608,1.2142423391342163
259.0,1658019515538,1.4679675102233887
260.0,1658019516470,1.473087191581726
261.0,1658019517406,1.3547892570495605
262.0,1658019518357,1.3336760997772217
263.0,1658019519291,1.4972020387649536
264.0,1658019520225,1.5388660430908203
265.0,1658019521162,1.5071555376052856
266.0,1658019522095,1.647976040840149
267.0,1658019523029,1.3409849405288696
268.0,1658019523965,1.6719738245010376
269.0,1658019524903,1.413501262664795
270.0,1658019525838,1.5075461864471436
271.0,1658019526772,1.5902754068374634
272.0,1658019527706,1.2847900390625
273.0,1658019528641,1.413614273071289
274.0,1658019529576,1.3493621349334717
275.0,1658019530513,1.2854560613632202
276.0,1658019531447,1.593490719795227
277.0,1658019532381,1.6492606401443481
