position,x,value
0.0,1658006690762,18.387849807739258
1.0,1658006715073,19.247360229492188
2.0,1658006715990,14.967223167419434
3.0,1658006716908,16.790573120117188
4.0,1658006717829,14.228248596191406
5.0,1658006718757,13.910685539245605
6.0,1658006719686,12.550317764282227
7.0,1658006720607,10.362580299377441
8.0,1658006721539,10.91439151763916
9.0,1658006722461,10.45319652557373
10.0,1658006723396,11.333159446716309
11.0,1658006724320,11.392983436584473
12.0,1658006725244,12.860621452331543
13.0,1658006726169,10.533923149108887
14.0,1658006727095,10.457528114318848
15.0,1658006728022,9.737934112548828
16.0,1658006728953,8.596617698669434
17.0,1658006729876,8.416589736938477
18.0,1658006730805,7.4639892578125
19.0,1658006731735,7.104739189147949
20.0,1658006732661,6.838212966918945
21.0,1658006733588,7.0204081535339355
22.0,1658006734514,6.482853889465332
23.0,1658006735441,5.383293151855469
24.0,1658006736370,5.715333938598633
25.0,1658006737299,5.482232570648193
26.0,1658006738225,5.333862781524658
27.0,1658006739152,5.4306416511535645
28.0,1658006740079,5.075099468231201
29.0,1658006741006,5.587219715118408
30.0,1658006741933,5.344780445098877
31.0,1658006742864,5.1390509605407715
32.0,1658006743791,5.449556350708008
33.0,1658006744717,5.005231857299805
34.0,1658006745651,5.110743522644043
35.0,1658006746580,5.417454719543457
36.0,1658006747509,4.854182720184326
37.0,1658006748438,5.101600646972656
38.0,1658006749367,5.072540760040283
39.0,1658006750297,4.693445205688477
40.0,1658006751231,3.988260507583618
41.0,1658006752167,4.15573787689209
42.0,1658006753096,3.6329684257507324
43.0,1658006754024,4.31617546081543
44.0,1658006754955,3.798300266265869
45.0,1658006755887,3.656933307647705
46.0,1658006756824,3.57209849357605
47.0,1658006757759,3.700016975402832
48.0,1658006758699,3.5813958644866943
49.0,1658006759629,3.716749668121338
50.0,1658006760564,3.9445815086364746
51.0,1658006782634,3.506334066390991
52.0,1658006783561,3.8413119316101074
53.0,1658006784493,3.392322540283203
54.0,1658006785420,3.6169002056121826
55.0,1658006786345,3.9494409561157227
56.0,1658006787276,3.135169744491577
57.0,1658006788202,3.0257537364959717
58.0,1658006789130,3.607016086578369
59.0,1658006790056,2.9982526302337646
60.0,1658006790988,3.0677707195281982
61.0,1658006791918,3.575627565383911
62.0,1658006792853,2.6470141410827637
63.0,1658006793781,2.9721617698669434
64.0,1658006794709,3.022129535675049
65.0,1658006795638,3.315776824951172
66.0,1658006796566,3.516096353530884
67.0,1658006797503,2.816593647003174
68.0,1658006798438,2.9663567543029785
69.0,1658006799368,2.7962114810943604
70.0,1658006800297,3.16080379486084
71.0,1658006801226,3.233901023864746
72.0,1658006802159,2.8104329109191895
73.0,1658006803090,2.6636362075805664
74.0,1658006804028,2.941913604736328
75.0,1658006804964,3.1732394695281982
76.0,1658006805894,2.7953073978424072
77.0,1658006806826,3.069089412689209
78.0,1658006807760,2.9399654865264893
79.0,1658006808690,2.9636895656585693
80.0,1658006809620,2.8619089126586914
81.0,1658006810559,2.9044814109802246
82.0,1658006811492,2.6561501026153564
83.0,1658006812424,2.9819552898406982
84.0,1658006813356,3.120037078857422
85.0,1658006814288,2.8418161869049072
86.0,1658006815221,2.9808509349823
87.0,1658006816153,2.9246127605438232
88.0,1658006817085,2.46872615814209
89.0,1658006818021,2.8569257259368896
90.0,1658006818958,2.97868275642395
91.0,1658006819889,2.904228448867798
92.0,1658006820822,2.7231462001800537
93.0,1658006821754,2.627978801727295
94.0,1658006822685,3.020050048828125
95.0,1658006823616,2.6364080905914307
96.0,1658006824555,2.828895330429077
97.0,1658006825489,2.8348159790039062
98.0,1658006826423,2.5722599029541016
99.0,1658006827357,2.922985553741455
100.0,1658006849787,2.718327045440674
101.0,1658006850721,2.5270535945892334
102.0,1658006851653,2.9371442794799805
103.0,1658006852590,2.4255571365356445
104.0,1658006853518,2.2833147048950195
105.0,1658006854453,2.6942758560180664
106.0,1658006855384,2.84714937210083
107.0,1658006856315,2.572885036468506
108.0,1658006857244,2.330209493637085
109.0,1658006858176,2.629748821258545
