position,x,value
0.0,1658006690762,9.677021491500261E7
1.0,1658006715073,2.2857163710989034E8
2.0,1658006715991,3163606.294912343
3.0,1658006716909,1.9590848856939167E7
4.0,1658006717830,1510949.1631643053
5.0,1658006718757,1099851.2916775064
6.0,1658006719686,282184.887432398
7.0,1658006720607,31652.749612062173
8.0,1658006721540,54961.68129294726
9.0,1658006722462,34654.973357996365
10.0,1658006723397,83546.56722600304
11.0,1658006724320,88697.18544169494
12.0,1658006725244,384854.8204184789
13.0,1658006726169,37568.572763130716
14.0,1658006727096,34805.41003023841
15.0,1658006728022,16948.491512725803
16.0,1658006728953,5413.31911589175
17.0,1658006729876,4521.4577728142185
18.0,1658006730809,1744.091829848748
19.0,1658006731735,1217.7244475638358
20.0,1658006732661,932.8206629826861
21.0,1658006733588,1119.2433476598637
22.0,1658006734514,653.8342568629994
23.0,1658006735441,217.73814081370358
24.0,1658006736370,303.48553192293383
25.0,1658006737300,240.3827802808576
26.0,1658006738226,207.23694107273494
27.0,1658006739152,228.29568462693263
28.0,1658006740080,159.98810492176707
29.0,1658006741007,266.99227225558207
30.0,1658006741934,209.51188018866966
31.0,1658006742864,170.55382917634725
32.0,1658006743792,232.65492581504208
33.0,1658006744718,149.1916703264245
34.0,1658006745651,165.79358033880987
35.0,1658006746580,225.3049278392056
36.0,1658006747509,128.2758111310936
37.0,1658006748438,164.28465869928766
38.0,1658006749367,159.57926532092765
39.0,1658006750298,109.22884815748449
40.0,1658006751231,53.9609430263699
41.0,1658006752167,63.79902300881843
42.0,1658006753096,37.82493063190014
43.0,1658006754024,74.90161563231473
44.0,1658006754955,44.625268918470965
45.0,1658006755887,38.74234963942316
46.0,1658006756824,35.59120275070283
47.0,1658006757760,40.44799097518014
48.0,1658006758699,35.923650413689124
49.0,1658006759630,41.130488869108795
50.0,1658006760564,51.65471653544561
51.0,1658006782634,33.325873137309436
52.0,1658006783561,46.58655273689586
53.0,1658006784493,29.734932713477484
54.0,1658006785420,37.222008236872576
55.0,1658006786345,51.906340799794364
56.0,1658006787276,22.9925383675446
57.0,1658006788203,20.609533015534762
58.0,1658006789130,36.85591371816882
59.0,1658006790057,20.050470708973062
60.0,1658006790989,21.49393322059367
61.0,1658006791918,35.71702855449681
62.0,1658006792853,14.111839714250527
63.0,1658006793781,19.534102218596395
64.0,1658006794710,20.534975117068207
65.0,1658006795638,27.543782373373105
66.0,1658006796567,33.652803075603835
67.0,1658006797504,16.71980001907141
68.0,1658006798438,19.42103494733758
69.0,1658006799368,16.382463781000354
70.0,1658006800297,23.58954946930149
71.0,1658006801226,25.378466119215577
72.0,1658006802159,16.617110390422948
73.0,1658006803090,14.348368000939496
74.0,1658006804028,18.95207842126105
75.0,1658006804964,23.88473303135363
76.0,1658006805894,16.36765936309175
77.0,1658006806826,21.52229582000773
78.0,1658006807760,18.915193471960368
79.0,1658006808691,19.369304401692464
80.0,1658006809620,17.49489130108669
81.0,1658006810560,18.25577395306085
82.0,1658006811493,14.241355664559267
83.0,1658006812424,19.72634969199483
84.0,1658006813356,22.647219360625094
85.0,1658006814288,17.146879211953816
86.0,1658006815221,19.704576826571714
87.0,1658006816153,18.6270115392989
88.0,1658006817086,11.80739651189534
89.0,1658006818021,17.40792784857405
90.0,1658006818959,19.661900067730333
91.0,1658006819889,18.25115651796039
92.0,1658006820822,15.228157788172949
93.0,1658006821754,13.845756582141567
94.0,1658006822685,20.4923172749931
95.0,1658006823617,13.962959739581905
96.0,1658006824555,16.92675202502617
97.0,1658006825490,17.027266637507765
98.0,1658006826423,13.095385325971092
99.0,1658006827357,18.596726186362986
100.0,1658006849787,15.154947486968881
101.0,1658006850722,12.516572855192335
102.0,1658006851654,18.86190499910326
103.0,1658006852590,11.308528058661436
104.0,1658006853518,9.809140988838893
105.0,1658006854454,14.794801306938604
106.0,1658006855385,17.238570981586207
107.0,1658006856315,13.103574249541
108.0,1658006857244,10.280094921949713
109.0,1658006858176,13.870285543683355
110.0,1658006859104,15.222277229191665
111.0,1658006860035,18.097734455579307
112.0,1658006860964,14.412426996798303
113.0,1658006861898,11.626898134021848
114.0,1658006862826,12.756616417577073
115.0,1658006863755,11.35626975609948
116.0,1658006864684,15.782065145609002
117.0,1658006865614,12.42753860617675
118.0,1658006866544,15.347407094389549
119.0,1658006867477,13.045814816507047
120.0,1658006868412,11.66747145558974
121.0,1658006869343,10.006353808391065
122.0,1658006870274,12.04875361066821
123.0,1658006871207,9.541373113187108
124.0,1658006872141,12.185735850693932
125.0,1658006873074,10.618808239355218
126.0,1658006874005,9.796433815576636
127.0,1658006874937,11.457151612728985
128.0,1658006875868,10.678073510092135
129.0,1658006876801,10.588364975772356
130.0,1658006877735,12.149731395173378
131.0,1658006878667,15.697443096161303
132.0,1658006879600,9.953341322667107
133.0,1658006880532,15.71710010191552
134.0,1658006881464,8.494730415473446
135.0,1658006882398,10.542707806172523
136.0,1658006883332,10.67382532985846
137.0,1658006884267,11.443095245300254
138.0,1658006885203,13.818473616691932
139.0,1658006886140,9.163712998818783
140.0,1658006887074,12.588551626214983
141.0,1658006888009,9.62649291513248
142.0,1658006888945,10.898731041119342
143.0,1658006889880,9.1030896013148
144.0,1658006890816,10.016760871415434
145.0,1658006891750,11.907498427217241
146.0,1658006892686,11.11900053730838
147.0,1658006893622,11.692854604765316
148.0,1658006894567,10.310858814022836
149.0,1658006895505,10.75342033908622
150.0,1658006918481,10.786914800277174
151.0,1658006919409,12.171467537791466
152.0,1658006920337,10.905970155237052
153.0,1658006921265,9.44659711473289
154.0,1658006922196,12.06101743133589
155.0,1658006923130,9.086258956324507
156.0,1658006924064,12.452458314455399
157.0,1658006924994,11.07516315451593
158.0,1658006925927,10.720801777369232
159.0,1658006926863,10.909270290362484
160.0,1658006927794,9.911672398719041
161.0,1658006928732,11.581201912063532
162.0,1658006929664,7.336412375983833
163.0,1658006930595,7.625293210607036
164.0,1658006931527,8.784812831689853
165.0,1658006932458,8.247286705619198
166.0,1658006933388,8.86449139809465
167.0,1658006934320,8.570406730360984
168.0,1658006935251,9.271006914791585
169.0,1658006936182,10.116458832078164
170.0,1658006937117,7.618002835484731
171.0,1658006938057,9.523757105588315
172.0,1658006938991,9.23082553384928
173.0,1658006939931,11.314007989580954
174.0,1658006940863,9.763251478961006
175.0,1658006941797,8.327285993065848
176.0,1658006942730,10.905052328234987
177.0,1658006943667,9.537092823502524
178.0,1658006944600,9.882624954196052
179.0,1658006945535,8.841823988071999
180.0,1658006946465,8.733864634972765
181.0,1658006947400,9.233812503033857
182.0,1658006948333,9.68482766806714
183.0,1658006949265,8.27356688038773
184.0,1658006950199,7.3386699845926655
185.0,1658006951133,9.620513651648066
186.0,1658006952068,9.352229617252297
187.0,1658006953004,9.050759464017453
188.0,1658006953940,9.576280546658845
189.0,1658006954877,10.03723654845433
190.0,1658006955815,11.080799467860913
191.0,1658006956749,7.698583627169915
192.0,1658006957685,8.218048555945353
193.0,1658006958622,8.154388757243257
194.0,1658006959557,8.343381117665597
195.0,1658006960494,12.703305680197765
196.0,1658006961430,10.128576493343276
197.0,1658006962367,9.48732188978201
198.0,1658006963311,9.483289683255569
199.0,1658006964250,7.43386962149199
200.0,1658006985070,8.48780468365318
201.0,1658006986000,8.693326780211905
202.0,1658006986931,7.8150342536138515
203.0,1658006987861,8.674659832489004
204.0,1658006988793,7.245745795217594
205.0,1658006989724,9.61808033397368
206.0,1658006990656,7.864510420580186
207.0,1658006991587,8.018648915115898
208.0,1658006992518,7.905771779307897
209.0,1658006993451,11.095564131128052
210.0,1658006994392,6.522117411055789
211.0,1658006995321,8.36604914551293
212.0,1658006996252,9.638922201629816
213.0,1658006997183,7.93436803947559
214.0,1658006998115,7.780571411667568
215.0,1658006999049,8.738553185393721
216.0,1658006999981,10.609723248926501
217.0,1658007000913,6.959698776902805
218.0,1658007001844,10.550792055518176
219.0,1658007002776,7.9122508903658275
220.0,1658007003708,6.358219421818589
221.0,1658007004645,9.476561096891428
222.0,1658007005579,8.149593930243302
223.0,1658007006513,8.472303528580102
224.0,1658007007445,8.118146834890224
225.0,1658007008379,7.035272584001278
226.0,1658007009311,9.862088464416658
227.0,1658007010247,10.209447066679157
228.0,1658007011182,7.7739202535490115
229.0,1658007012115,10.729214442467526
230.0,1658007013051,10.975956748593045
231.0,1658007013986,7.237212554260437
232.0,1658007014922,7.559468794113373
233.0,1658007015860,8.173810656193691
234.0,1658007016795,8.359987692914014
235.0,1658007017730,8.89639639714852
236.0,1658007018665,8.926132425096686
237.0,1658007019599,8.029836889304269
238.0,1658007020535,9.274809548538435
239.0,1658007021472,11.310245645038288
240.0,1658007022411,7.898815853631886
241.0,1658007023353,8.003645819446662
242.0,1658007024289,8.337447404919466
243.0,1658007025223,9.282955081740202
244.0,1658007026160,8.216214822570466
245.0,1658007027096,8.94105900748434
246.0,1658007028030,10.742055828082838
247.0,1658007028966,9.173930443307642
248.0,1658007029901,9.022008462121265
249.0,1658007030838,7.581668032460909
250.0,1658007053328,7.741522970407634
251.0,1658007054257,9.161727231322674
252.0,1658007055188,7.0377647134090155
253.0,1658007056120,9.811388719209289
254.0,1658007057051,7.135224986215582
255.0,1658007057984,6.94886935271457
256.0,1658007058915,8.536493192735636
257.0,1658007059845,6.577559458266492
258.0,1658007060783,8.946586119335693
259.0,1658007061715,6.408636061036966
260.0,1658007062645,6.719577252883746
261.0,1658007063574,5.676167499308662
262.0,1658007064505,8.271572850366681
263.0,1658007065435,8.109314072745795
264.0,1658007066368,8.014715406348822
265.0,1658007067302,6.987650440331651
266.0,1658007068232,8.98096395855217
267.0,1658007069163,7.708187365368865
268.0,1658007070094,10.309587951090148
269.0,1658007071029,7.424933376993559
270.0,1658007071963,7.2257437187918265
271.0,1658007072897,6.970709608922467
272.0,1658007073832,8.953066484443063
273.0,1658007074764,6.372380954746728
274.0,1658007075698,5.89325712357061
275.0,1658007076631,6.91897996850617
276.0,1658007077566,7.854180085882699
277.0,1658007078500,6.7986161153199225
278.0,1658007079432,9.610186039036078
279.0,1658007080365,9.005819412534574
280.0,1658007081297,8.203227807426652
281.0,1658007082235,8.757155099250054
282.0,1658007083169,6.847793425145556
283.0,1658007084115,10.023136957352474
284.0,1658007085050,8.050057970258035
285.0,1658007085987,6.54668348258656
286.0,1658007086924,8.373101108543999
287.0,1658007087864,7.201034430626075
288.0,1658007088800,7.902909160612963
289.0,1658007089736,8.491346810628709
290.0,1658007090676,7.920257164284339
291.0,1658007091611,8.058956844428561
292.0,1658007092548,7.5544221872072725
293.0,1658007093486,7.575667333879955
294.0,1658007094424,6.545258580736739
295.0,1658007095362,7.595666422107613
296.0,1658007096303,6.64195053676853
297.0,1658007097242,7.888064316253272
298.0,1658007098184,6.555702823790189
299.0,1658007120843,7.653071999341163
300.0,1658007121782,9.188160686339124
301.0,1658007122710,6.189030577488688
302.0,1658007123639,7.76897127251865
303.0,1658007124569,7.216929472587504
304.0,1658007125506,6.401086386472651
305.0,1658007126436,7.880103736139322
306.0,1658007127365,7.244774130139693
307.0,1658007128294,5.8029607051151455
308.0,1658007129222,6.598062792553506
309.0,1658007130152,5.67707225499157
310.0,1658007131083,7.608028947959776
311.0,1658007132016,6.558684145067663
312.0,1658007132948,7.502028384256945
313.0,1658007133880,5.736160312902879
314.0,1658007134812,5.557414331132209
315.0,1658007135744,6.785618270620996
316.0,1658007136677,7.190090044991057
317.0,1658007137607,10.92661173908639
318.0,1658007138539,8.68918661046052
319.0,1658007139472,7.503878048369603
320.0,1658007140405,7.943883320202757
321.0,1658007141341,6.186034400235125
322.0,1658007142274,7.560029335733177
323.0,1658007143206,6.6752092033447425
324.0,1658007144138,9.755756704825632
325.0,1658007145070,6.754618305049481
326.0,1658007146006,7.436590711374385
327.0,1658007146938,8.260948106879981
328.0,1658007147873,8.31655201299084
329.0,1658007148810,10.963557167589638
330.0,1658007149745,6.640494608888419
331.0,1658007150679,7.643498660656136
332.0,1658007151613,6.588974961391648
333.0,1658007152547,6.914341161819648
334.0,1658007153490,8.716274311887569
335.0,1658007154432,7.132700896189132
336.0,1658007155366,5.56101616039921
337.0,1658007156301,6.627422992055728
338.0,1658007157237,6.8485175397909535
339.0,1658007158171,6.559786654791819
340.0,1658007159105,7.891565003099236
341.0,1658007160041,6.466442704363056
342.0,1658007160975,5.870302485228331
343.0,1658007161915,9.918203869273764
344.0,1658007162855,6.512583720301561
345.0,1658007163790,6.762890490701811
346.0,1658007164726,4.778310505400014
347.0,1658007165661,6.960758334322623
348.0,1658007166596,6.334718485805886
349.0,1658007188111,6.131525282108078
350.0,1658007189043,5.841011027522476
351.0,1658007189977,7.039953079327875
